Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Not Sweet,-0.3411983355549803,-0.42547574141104116,-0.2154830370364938,2.0270636700070432,-0.48645367333322664,-0.5559208988117208,7.8,74
Not Sweet,-0.3424902747480481,-0.42511166567309894,-0.21517374704024728,2.027686169845432,-0.48218990345518487,-0.5584696159629403,7.0,75
Not Sweet,-0.32947971392494113,-0.42330498813553563,-0.1953346817961854,2.023245727646048,-0.5008129560335433,-0.5701961598705765,7.8,76
Not Sweet,-0.3353207269182303,-0.42368456283440137,-0.19547323164387326,2.023879764670871,-0.49633411191140975,-0.5701880781835343,6.0,77
Not Sweet,-0.3338694548515111,-0.42642591558083554,-0.20206079153288647,2.0242353416542613,-0.49108557272995657,-0.5720179469991339,7.4,78
Not Sweet,-0.3369833816870578,-0.42592346225638,-0.20887025495241918,2.025522527541252,-0.48573602926920256,-0.5680738554445708,6.4,79
Not Sweet,-0.33468045768686483,-0.4263863988844346,-0.19405968173389618,2.0233233739353564,-0.49403605372083215,-0.572422238556924,6.8,80
Not Sweet,-0.33034270147163103,-0.4260261469325506,-0.20065772124068487,2.0237888086074216,-0.4925856443156495,-0.5755660738889272,7.0,81
Not Sweet,-0.33663768585389475,-0.4240273989513537,-0.20350729413412133,2.02451328170811,-0.4856555255117019,-0.5728647095933749,7.4,82
Not Sweet,-0.3359155992985644,-0.4231919781874327,-0.2085839254933921,2.0256526039278384,-0.489702096023281,-0.5661952675703927,7.8,83
Not Sweet,-0.35576514288297134,-0.4244517157381139,-0.21139029198677678,2.026847750414506,-0.4726181744408966,-0.5582610653553428,7.2,84
Not Sweet,-0.3346309270284261,-0.42630165311028567,-0.19848739736242116,2.02397751241496,-0.49146208290940546,-0.5724152296796619,5.6,85
Not Sweet,-0.33628922169062486,-0.4254662588705005,-0.2158631321814467,2.0261356025329773,-0.4824738698332192,-0.5660441384068646,7.0,86
Not Sweet,-0.33693760532325745,-0.4263639890240305,-0.20333790112404707,2.024797705618622,-0.49228464964908436,-0.5714013365771129,5.8,87
Sweet,-0.33580529903006,-0.4239083529246993,-0.20642645500682977,2.025426635001928,-0.4871201858621821,-0.5670949947273307,9.0,88
Sweet,-0.33477277195916166,-0.4225042003137126,-0.21094978190737979,2.0259060346425297,-0.48473953932812036,-0.5680166555478915,9.4,89
