Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Sweet,257.9791564941406,178.6471405029297,355.2647705078125,2184.296142578125,119.04623413085938,51.34617233276367,8.6,4
Sweet,238.509033203125,169.3337860107422,333.0606994628906,2155.2958984375,99.66661071777344,41.47190856933594,8.6,4
Sweet,276.6380310058594,196.4271850585937,389.903076171875,2315.376953125,110.04855346679688,45.42161560058594,8.6,4
Sweet,281.50555419921875,200.6605224609375,419.21240234375,2713.260009765625,123.8911361694336,48.38389205932617,8.6,4
Sweet,283.1280822753906,202.35386657714844,411.2189636230469,2565.93896484375,107.28003692626952,43.44676208496094,8.6,4
Sweet,266.9029541015625,178.6471405029297,387.2385864257813,2331.6171875,114.20132446289062,49.37131881713867,8.6,4
Sweet,277.44927978515625,186.26715087890625,386.3504333496094,2432.537841796875,127.3517837524414,54.30845260620117,8.6,4
Sweet,257.1679077148437,190.50050354003903,399.6728515625,2561.298828125,119.73835754394533,50.35874557495117,8.6,4
Sweet,251.48912048339844,178.6471405029297,387.2385864257813,2236.49658203125,118.3541030883789,52.33359909057617,8.6,4
Sweet,279.0718078613281,192.19384765625,392.5675659179688,2468.498291015625,120.43048858642578,50.35874557495117,8.6,4
Sweet,260.4129333496094,174.41378784179688,381.0214538574219,2408.177734375,117.66197204589844,51.34617233276367,8.6,4
Sweet,270.1479797363281,193.88717651367188,404.1136779785156,2309.576904296875,120.43048858642578,50.35874557495117,8.6,4
Sweet,275.8267822265625,188.80715942382807,390.7912292480469,2477.7783203125,130.12030029296875,52.33359909057617,8.6,4
Sweet,289.6181030273437,195.5805206298828,422.76507568359375,2381.49755859375,123.19900512695312,49.37131881713867,8.6,4
Sweet,256.3566589355469,176.1071319580078,368.5871887207031,2111.215576171875,121.81475067138672,51.34617233276367,8.6,4
Sweet,275.8267822265625,194.7338409423828,405.8899841308594,2500.978515625,132.88882446289062,56.28330612182617,8.6,4
Sweet,287.99560546875,206.5872039794922,432.5348510742188,2748.060302734375,120.43048858642578,49.37131881713867,8.6,4
Sweet,265.28045654296875,193.0405120849609,373.9161682128906,2394.257568359375,105.20364379882812,42.45933532714844,8.2,5
Sweet,302.59820556640625,204.8938751220703,440.5282897949219,2582.178955078125,125.27539825439452,46.40904235839844,8.2,5
Sweet,302.59820556640625,209.9738922119141,418.3242492675781,2541.57861328125,112.12493896484376,39.49705505371094,8.2,5
Sweet,278.2605285644531,201.5072021484375,422.76507568359375,2482.418212890625,119.04623413085938,50.35874557495117,8.2,5
Sweet,274.2042541503906,193.0405120849609,382.79779052734375,2630.8994140625,125.27539825439452,53.32102584838867,8.2,5
Sweet,334.2371520996094,226.0605926513672,434.3111572265625,2969.621826171875,120.43048858642578,47.39646911621094,8.2,5
Sweet,334.2371520996094,212.513900756836,457.40338134765625,2655.259521484375,136.34945678710938,51.34617233276367,8.2,5
