Class,730nm,760nm,810nm,860nm,900nm,940nm,Samle No.,Brix (%)
Sweet,-0.3215836543466208,-0.42339293714517706,-0.2093252082479194,2.0243274460691665,-0.4954762551907178,-0.5745493911387315,94,9.8
Average,-0.32588730830208784,-0.4220823424915601,-0.22735451846451704,2.0268748236505787,-0.4880066811183777,-0.5635439732740356,95,7.6
Average,-0.3640879679925746,-0.4225917856482258,-0.2552821487834885,2.0324136601185376,-0.4599800934116806,-0.5304716642825679,96,4.2
Average,-0.36055522016968583,-0.4235223328202398,-0.21975461744528374,2.028557849440036,-0.4787595078845983,-0.5459661711202282,97,5.6
Average,-0.36373337150135204,-0.4316762636244612,-0.21971225165950303,2.0288685344714947,-0.46858820052997585,-0.545158447156203,98,6.8
Average,-0.37590645651637966,-0.4277056314625313,-0.23719561470447362,2.031319008389661,-0.45860028545372755,-0.5319110202525489,99,6.6
Average,-0.3626909510506473,-0.42429988085217313,-0.21293028278793127,2.0278235839065877,-0.4770368116211219,-0.5508656575947134,100,8.0
Sweet,-0.37051538662394967,-0.4281103415141865,-0.21197820944029977,2.0283121481275512,-0.4728683349295175,-0.5448398756195983,101,8.4
Sweet,-0.3797854625028648,-0.4292816143426602,-0.25930889852280475,2.033588590376249,-0.44427262641238324,-0.5209399885955367,102,8.4
Average,-0.3719731202675961,-0.4357400454806569,-0.22648365141905352,2.029907901017189,-0.4518914345147442,-0.5438196493351383,103,8.0
Average,-0.36629678273236305,-0.43185980727403495,-0.2150323627654152,2.0284890747407736,-0.4695727606146703,-0.5457273613542895,104,7.8
Average,-0.36052611257668976,-0.4256546909921251,-0.22281494490002798,2.0288854638428107,-0.4730073066008437,-0.5468824087731248,105,7.2
Average,-0.3615696753352569,-0.42352247337898874,-0.2302341367016639,2.0297210681935267,-0.47098741771964103,-0.5434073650579763,106,7.6
Bland,-0.3699219210169528,-0.4322447228482187,-0.21383542265395575,2.02866991773055,-0.47207782836784096,-0.5405900228435822,107,2.4
Average,-0.36532268748345914,-0.42778154233622717,-0.2220878484759145,2.0291699071980034,-0.47084169758134886,-0.5431361313210532,108,6.6
Average,-0.3653272002551024,-0.42348137989934875,-0.226719915085884,2.029676543033038,-0.4757480205098451,-0.5384000272828583,109,8.0
Sweet,-0.3659167971229834,-0.42838881179687033,-0.21701819617612558,2.028554130140847,-0.46936978042433425,-0.5478605446205331,110,8.8
Sweet,-0.36600028254343786,-0.4277771902470194,-0.233260807680795,2.0302728899655254,-0.4604346888147849,-0.5427999206794879,111,8.6
Sweet,-0.35823700587925117,-0.4270368991457416,-0.2154484301386247,2.027770085527321,-0.4709642240178078,-0.5560835263458952,112,9.0
Sweet,-0.3702679848152283,-0.4337685907568709,-0.20642907888965367,2.027528153012122,-0.46350353421584073,-0.5535589643345283,113,9.8
Sweet,-0.3559172142344355,-0.4266839806829681,-0.22103305483083235,2.0282593559495554,-0.46962890994342693,-0.5549961962578922,114,8.6
Sweet,-0.36055614880652676,-0.4279458893492548,-0.2123668839322146,2.0275313961773613,-0.46939716359801803,-0.5572653104913472,115,8.6
Sweet,-0.3598424351392627,-0.4287728201105561,-0.21944574133606984,2.0284439600729485,-0.46935484394603794,-0.5510281195410217,116,8.2
Sweet,-0.35478757947660056,-0.43149796182675654,-0.20297786427018027,2.0260844798633215,-0.47248679918690284,-0.5643342751028817,117,8.8
Average,-0.38113394026079545,-0.4334946912272017,-0.22442221277708665,2.030257568182175,-0.4552129872318606,-0.5359937366852303,118,7.8
Average,-0.3642983564810059,-0.4224663671737394,-0.2117049083647908,2.027662798163309,-0.47616353627270924,-0.5530296298710634,119,7.8
Average,-0.35589858023060317,-0.4256408696103135,-0.2068039717746284,2.0266718789200926,-0.4808479753402918,-0.5574804819642558,120,7.4
Average,-0.36130448922440983,-0.42887694541853044,-0.22850383721800596,2.029557841251719,-0.4649830934015198,-0.5458894759892532,121,7.8
Average,-0.33875870641841804,-0.4233255226299068,-0.1939302893235914,2.0239473595859616,-0.5037514197633333,-0.5641814214507123,122,3.6
Average,-0.3320758239235778,-0.41627478137853186,-0.20116963791502313,2.0237417493446985,-0.4954866003358171,-0.5787349057917485,123,6.8
Sweet,-0.3395633240562486,-0.4299642312317946,-0.19082991501195776,2.0236691753128357,-0.4938495684145598,-0.5694621365982747,124,8.2
Average,-0.3312461463916712,-0.43356861036275296,-0.19550780947682111,2.0235345959880067,-0.48595091783400646,-0.5772611119227546,125,6.4
Average,-0.33932946996310304,-0.4223817451957505,-0.20865829767404298,2.025486424849051,-0.4846645130051425,-0.5704523990110121,126,7.0
Average,-0.3173447699105747,-0.42091545710997236,-0.21293189971956847,2.0241955360479054,-0.4932191752177228,-0.5797842340900669,127,7.2
Average,-0.33879911084517866,-0.41848709364125397,-0.21398803037071032,2.026156085027826,-0.4914097025191566,-0.5634721476515265,128,6.6
Average,-0.3334217527133152,-0.42259044772160037,-0.19835873349163993,2.023820293854393,-0.49477776132355855,-0.5746715986042789,129,7.4
Sweet,-0.3268521209788108,-0.4178831216949678,-0.19717251032878155,2.022699711122532,-0.4940567999499124,-0.5867351581700592,130,8.8
Average,-0.34288569355271625,-0.42498842637817136,-0.19162689233513014,2.0237158701907147,-0.4909320870702948,-0.5732827708544024,131,7.6
Average,-0.3350730016885926,-0.4245864838550564,-0.18955270684865083,2.022924274640237,-0.4989698042957052,-0.5747422779522323,132,8.0
Sweet,-0.3431773382550406,-0.42288454472194165,-0.201432160968693,2.025115510985775,-0.49382041869022764,-0.5638010483498721,133,8.6
Sweet,-0.33216796257821163,-0.42272234395027597,-0.21326381771298475,2.025724950234238,-0.4920484519129425,-0.5655223740798231,134,8.6
Sweet,-0.3220691621636461,-0.41724093599395595,-0.2088321682367933,2.02406756512409,-0.49979558756437953,-0.5761297111653148,135,8.2
Average,-0.32460286840100033,-0.4176528008514765,-0.22707608382494307,2.026584712580105,-0.4918973328138787,-0.5653556266888066,136,6.6
Average,-0.3307340754136255,-0.4233587638736895,-0.21441679721033155,2.025654540199297,-0.4876226316773093,-0.569522272024342,137,7.6
Average,-0.3361805980770675,-0.4236438541180104,-0.19162148615215754,2.023092003612685,-0.49295231588822974,-0.5786937493772196,138,7.4
Average,-0.34040406171311394,-0.42411244121334046,-0.20926143708212208,2.0257583827459444,-0.4845480223972142,-0.5674324203401536,139,7.0
Average,-0.35711444821540367,-0.4199819741156229,-0.24149087781640124,2.0304078935539662,-0.4651678286988553,-0.5466527647076834,140,7.8
Average,-0.32895145475940135,-0.4160751190481629,-0.2047533537912361,2.0239658196952726,-0.49602473968572525,-0.5781611524107471,141,7.4
Average,-0.3944842283179928,-0.4327051677908847,-0.22703499276431033,2.031175905815222,-0.451659662507627,-0.5252918544344074,142,5.0
Average,-0.40370483159154286,-0.43808347376811235,-0.21161636318841617,2.0300175449119164,-0.4531908718204127,-0.5234220045434325,143,7.2
Sweet,-0.39615614684803385,-0.4323290616317278,-0.23512492089057738,2.031769241610265,-0.43871504962426255,-0.5294440626156633,144,8.8
Average,-0.4090516680349683,-0.44021714014069674,-0.22965278184558002,2.0317332983928225,-0.43014609526087216,-0.5226656131107058,145,8.0
Sweet,-0.41294557280285493,-0.43670836141493014,-0.24091735689237814,2.0329407815821496,-0.4273541713477767,-0.51501531912421,146,8.4
Sweet,-0.3893853796310949,-0.4350046083230723,-0.2479386302916316,2.032877370340797,-0.4369206157895618,-0.5236281363054358,147,8.2
Sweet,-0.39784619988452224,-0.43826657521804924,-0.21983620798947637,2.0302636387954185,-0.43869143898697444,-0.5356232167163962,148,9.6
Sweet,-0.383920970793343,-0.4322950841254211,-0.22991514479525518,2.030617212778078,-0.44298828680958274,-0.5414977262544765,149,8.4
Sweet,-0.3849100234083492,-0.43395923977075573,-0.2253625845426222,2.0302029025703967,-0.4432760138445507,-0.5426950410041191,150,9.0
Sweet,-0.3952832373504699,-0.4369409383936306,-0.21948028227501915,2.0302197867662715,-0.44385019007667953,-0.5346651386704717,151,8.4
Average,-0.385362586932092,-0.4365199411335146,-0.24548275400742722,2.032233101711959,-0.43130710330109734,-0.5335607163378275,152,6.8
Average,-0.38417515862115054,-0.4339713400550878,-0.23064148848724333,2.0307215649854173,-0.441187389689612,-0.5407461881323234,153,8.0
Sweet,-0.3816247505318397,-0.4338832440244091,-0.2388331392392397,2.0315000848990348,-0.44033940335127564,-0.5368195477522704,154,8.6
Sweet,-0.3812186016520707,-0.43761286259555876,-0.2297940490116818,2.0305451808907193,-0.44014051266239623,-0.541779154969012,155,9.4
Sweet,-0.37930471573006974,-0.43045381817035583,-0.22594183659349418,2.030077280213886,-0.4514651206009367,-0.5429117891190294,156,9.0
Sweet,-0.3887960963037144,-0.43789440992339984,-0.2186726221250574,2.029938184938983,-0.44798566665109585,-0.5365893899357154,157,9.0
Sweet,-0.38735508639030275,-0.4474287052703077,-0.20555677417666657,2.028057869732665,-0.4359857561069087,-0.5517315477884795,158,8.8
Sweet,-0.3799278326601047,-0.43768315817755865,-0.22876403207384885,2.0304340682582627,-0.4424981955205034,-0.5415608498262471,159,9.0
Sweet,-0.3844475064403814,-0.4405467044528458,-0.22848775467681193,2.0306332605605335,-0.4384343650786839,-0.5387169299118099,160,9.0
Sweet,-0.37944988256090517,-0.4320729979722837,-0.23480963599923801,2.0312301710681147,-0.45190599141913096,-0.5329916631165572,161,9.2
Average,-0.39277004935851284,-0.4332442408007867,-0.22927862894869644,2.031493746088181,-0.4563863885683063,-0.5198144384118786,162,6.6
Average,-0.395832684594597,-0.43524784750829965,-0.2390590507299837,2.0323623664634867,-0.44053161837997573,-0.5216911652506308,163,7.0
Sweet,-0.39474631838578933,-0.43102139202320894,-0.25000440197344753,2.033282839096876,-0.4384986677607658,-0.519012058953664,164,8.2
Average,-0.3900435932465948,-0.43395486710599135,-0.2443519653698478,2.032599289605373,-0.440330426102331,-0.5239184377806075,165,7.8
Average,-0.40677319285428654,-0.43526713226628244,-0.22969387178181164,2.0315005348231683,-0.43115595007844754,-0.5286103878423403,166,7.4
Average,-0.39735639140360235,-0.43588290001006996,-0.2582832573261665,2.034312141926431,-0.43567536648356237,-0.5071142267030302,167,5.0
Average,-0.397732400265966,-0.4309764557702181,-0.24408231085470028,2.0330244278644516,-0.4463544042220796,-0.5138788567514878,168,3.8
Bland,-0.39393798557574505,-0.4293355276787773,-0.2589353201291843,2.033939964179791,-0.43327144824542707,-0.5184596825506573,169,2.8
Average,-0.4055956248723475,-0.44072451886699,-0.26643290815160536,2.0350180522759866,-0.41822122864888217,-0.5040437717361623,170,4.8
Average,-0.393716328430687,-0.4368077400046369,-0.2404564030227846,2.032253699784609,-0.4343280879094892,-0.5269451404170106,171,4.0
Average,-0.4240647000179565,-0.44042635887005166,-0.22857226379647985,2.0320115396939986,-0.4243869802315041,-0.5145612367780061,172,4.6
Average,-0.3960747804121379,-0.4339604308705419,-0.2261907602072796,2.031084689225697,-0.4476733644943582,-0.5271853532413793,173,4.0
Average,-0.41231248690858047,-0.4334592439418458,-0.24739620066430967,2.033558564230418,-0.42909232575551043,-0.5112983069601719,174,3.8
Average,-0.4317545251722186,-0.43842907787415736,-0.2563537403318585,2.0345654180442017,-0.40964737759041187,-0.49838069707555493,175,4.0
Average,-0.3943016845617358,-0.4349297762383817,-0.25576698205703075,2.033784038319416,-0.4321378892513429,-0.5166477062109246,176,3.4
Average,-0.3972885641928819,-0.4342989874405147,-0.2484296419297547,2.033066774692365,-0.43006708465345195,-0.5229824964757617,177,4.6
Average,-0.39039647099072927,-0.4382336333659201,-0.24283486955220668,2.0323756612078907,-0.4338313079946674,-0.5270793793043671,178,4.2
Average,-0.39168257302322745,-0.43833911395322467,-0.244980743469055,2.032734494683512,-0.4353164099224439,-0.5224156543155611,179,4.2
Average,-0.41022353148882057,-0.43830832668132974,-0.24842072553289654,2.0335843376716523,-0.42481398963583317,-0.5118177643327718,180,4.4
Average,-0.39852700070826325,-0.43932863813615447,-0.2588155056816355,2.033943377921181,-0.4185570437104401,-0.5187151896846872,181,4.4
Sweet,-0.3377280237008542,-0.41485200929491645,-0.19606148925871464,2.023631509097076,-0.5020600932216729,-0.5729298936209177,182,11.6
Sweet,-0.3282988444073381,-0.42897175477091554,-0.19201440891658234,2.022837823093428,-0.4967583659122657,-0.5767944490863266,183,11.0
Average,-0.33898007418594733,-0.4244756239448494,-0.1907604004959522,2.0233600187731886,-0.495820850274543,-0.573323069871897,184,4.6
Average,-0.3365565717376521,-0.42309536974279927,-0.1994493181564941,2.024330645982971,-0.49608686422086684,-0.5691425221251588,185,4.0
Sweet,-0.3202669500374195,-0.41790327737982375,-0.2257954839883212,2.0259005761321767,-0.48809344231244617,-0.5738414224141657,186,9.8
Sweet,-0.3264139259237507,-0.42399158093189704,-0.21113680333129478,2.0250928925385416,-0.49617195902396427,-0.5673786233276348,187,8.6
Sweet,-0.33045283167982364,-0.4155856378025825,-0.1937310917633652,2.0228290111486245,-0.5082756017881037,-0.5747838481147495,188,11.6
Average,-0.3176661685469422,-0.4216949958373712,-0.19936335344331305,2.0225742969567047,-0.5010358287947169,-0.5828139503343615,189,7.0
Sweet,-0.3381918503589293,-0.42653921737414285,-0.2162748799049923,2.0265668691819276,-0.4818925094960762,-0.563668412047786,190,9.0
Average,-0.33357342160365916,-0.4260145560140676,-0.19255352870577913,2.0232768929835507,-0.49782769407285016,-0.5733076925871954,191,7.2
Average,-0.33315128347556283,-0.4372236528880564,-0.179578236337201,2.0215386410068774,-0.4866441243988361,-0.5849413439072209,192,4.6
Average,-0.3332955579431999,-0.4214756534690433,-0.22347660058234822,2.0270311632552884,-0.4890224953215455,-0.559760855939152,193,6.0
Sweet,-0.37035684935906127,-0.4183062185236456,-0.2274195344576512,2.0299313154724734,-0.47890369518277787,-0.534945017949337,194,9.6
